model_name,task,accuracy,precision,recall,f1_score,auc_roc,training_samples,validation_samples,cross_validation_folds,hyperparameter_optimization
Random_Forest_GRS,Disease_Risk_Prediction,0.797,0.759,0.824,0.79,0.751,5562,496,5,Random_Search
Random_Forest_GRS,Treatment_Response_Prediction,0.718,0.71,0.774,0.741,0.819,3089,572,10,Random_Search
Random_Forest_GRS,Biomarker_Discovery,0.804,0.797,0.809,0.803,0.818,6231,1212,10,Random_Search
Random_Forest_GRS,Drug_Dosing_Optimization,0.853,0.817,0.889,0.851,0.796,7782,1432,10,Grid_Search
Random_Forest_GRS,Adverse_Event_Prediction,0.756,0.756,0.768,0.762,0.756,5028,984,10,Bayesian_Optimization
Random_Forest_GRS,Prognosis_Prediction,0.789,0.79,0.743,0.766,0.812,9144,1303,10,Bayesian_Optimization
XGBoost_GRS,Disease_Risk_Prediction,0.821,0.861,0.876,0.868,0.837,9785,1882,5,Random_Search
XGBoost_GRS,Treatment_Response_Prediction,0.851,0.851,0.807,0.829,0.889,2369,1389,10,Bayesian_Optimization
XGBoost_GRS,Biomarker_Discovery,0.817,0.817,0.815,0.816,0.836,4593,1639,5,Grid_Search
XGBoost_GRS,Drug_Dosing_Optimization,0.763,0.776,0.735,0.755,0.731,6926,205,5,Grid_Search
XGBoost_GRS,Adverse_Event_Prediction,0.714,0.781,0.716,0.747,0.762,6937,1343,10,Grid_Search
XGBoost_GRS,Prognosis_Prediction,0.725,0.72,0.742,0.731,0.784,2804,322,10,Random_Search
Neural_Network_GRS,Disease_Risk_Prediction,0.75,0.738,0.726,0.732,0.745,3283,803,10,Grid_Search
Neural_Network_GRS,Treatment_Response_Prediction,0.729,0.686,0.737,0.71,0.756,7898,696,5,Grid_Search
Neural_Network_GRS,Biomarker_Discovery,0.723,0.703,0.72,0.711,0.791,1915,1729,5,Grid_Search
Neural_Network_GRS,Drug_Dosing_Optimization,0.638,0.652,0.659,0.655,0.61,3344,973,5,Bayesian_Optimization
Neural_Network_GRS,Adverse_Event_Prediction,0.763,0.773,0.762,0.767,0.831,7958,961,5,Bayesian_Optimization
Neural_Network_GRS,Prognosis_Prediction,0.785,0.811,0.799,0.805,0.813,2736,1557,5,Random_Search
SVM_GRS,Disease_Risk_Prediction,0.741,0.747,0.739,0.743,0.712,3591,261,5,Random_Search
SVM_GRS,Treatment_Response_Prediction,0.826,0.766,0.867,0.813,0.738,3314,361,5,Grid_Search
SVM_GRS,Biomarker_Discovery,0.772,0.801,0.737,0.767,0.789,1204,1365,10,Grid_Search
SVM_GRS,Drug_Dosing_Optimization,0.796,0.806,0.785,0.795,0.777,3988,1162,5,Bayesian_Optimization
SVM_GRS,Adverse_Event_Prediction,0.701,0.698,0.729,0.713,0.683,9641,1630,10,Random_Search
SVM_GRS,Prognosis_Prediction,0.76,0.807,0.755,0.78,0.774,7742,1679,10,Random_Search
Logistic_Regression_GRS,Disease_Risk_Prediction,0.807,0.802,0.827,0.814,0.846,1216,787,5,Grid_Search
Logistic_Regression_GRS,Treatment_Response_Prediction,0.825,0.856,0.763,0.806,0.778,1983,1515,5,Bayesian_Optimization
Logistic_Regression_GRS,Biomarker_Discovery,0.754,0.73,0.733,0.732,0.79,3843,1230,5,Grid_Search
Logistic_Regression_GRS,Drug_Dosing_Optimization,0.785,0.781,0.779,0.78,0.769,7494,1905,10,Bayesian_Optimization
Logistic_Regression_GRS,Adverse_Event_Prediction,0.768,0.81,0.715,0.759,0.819,8443,1334,10,Bayesian_Optimization
Logistic_Regression_GRS,Prognosis_Prediction,0.895,0.933,0.865,0.898,0.875,9222,826,5,Random_Search
Ensemble_GRS,Disease_Risk_Prediction,0.872,0.864,0.856,0.86,0.868,3569,756,5,Bayesian_Optimization
Ensemble_GRS,Treatment_Response_Prediction,0.764,0.76,0.728,0.744,0.793,7185,456,5,Random_Search
Ensemble_GRS,Biomarker_Discovery,0.778,0.779,0.764,0.772,0.793,1917,648,10,Grid_Search
Ensemble_GRS,Drug_Dosing_Optimization,0.861,0.87,0.84,0.855,0.839,2264,1872,10,Random_Search
Ensemble_GRS,Adverse_Event_Prediction,0.938,0.966,0.932,0.949,0.915,6131,1536,10,Random_Search
Ensemble_GRS,Prognosis_Prediction,0.748,0.782,0.727,0.753,0.79,3700,311,10,Bayesian_Optimization
Deep_Learning_Multiomics,Disease_Risk_Prediction,0.891,0.932,0.914,0.923,0.883,7950,598,10,Grid_Search
Deep_Learning_Multiomics,Treatment_Response_Prediction,0.851,0.852,0.843,0.847,0.786,2710,359,10,Bayesian_Optimization
Deep_Learning_Multiomics,Biomarker_Discovery,0.742,0.765,0.737,0.751,0.781,6496,257,5,Random_Search
Deep_Learning_Multiomics,Drug_Dosing_Optimization,0.831,0.831,0.859,0.845,0.893,3666,1309,5,Grid_Search
Deep_Learning_Multiomics,Adverse_Event_Prediction,0.834,0.804,0.871,0.836,0.823,4471,1422,5,Random_Search
Deep_Learning_Multiomics,Prognosis_Prediction,0.826,0.814,0.804,0.809,0.857,4075,1329,5,Bayesian_Optimization
Transformer_Genomics,Disease_Risk_Prediction,0.783,0.786,0.791,0.788,0.759,1530,692,10,Grid_Search
Transformer_Genomics,Treatment_Response_Prediction,0.929,0.956,0.916,0.936,0.925,1735,1354,10,Grid_Search
Transformer_Genomics,Biomarker_Discovery,0.895,0.897,0.937,0.917,0.917,1787,844,5,Random_Search
Transformer_Genomics,Drug_Dosing_Optimization,0.863,0.87,0.957,0.911,0.822,1138,930,10,Random_Search
Transformer_Genomics,Adverse_Event_Prediction,0.795,0.788,0.837,0.812,0.697,9195,599,10,Random_Search
Transformer_Genomics,Prognosis_Prediction,0.755,0.743,0.818,0.779,0.756,6830,465,5,Random_Search
CNN_Genomics,Disease_Risk_Prediction,0.792,0.817,0.842,0.829,0.766,7672,1718,5,Bayesian_Optimization
CNN_Genomics,Treatment_Response_Prediction,0.873,0.877,0.89,0.884,0.854,3460,248,10,Random_Search
CNN_Genomics,Biomarker_Discovery,0.881,0.907,0.903,0.905,0.817,1612,794,5,Grid_Search
CNN_Genomics,Drug_Dosing_Optimization,0.778,0.758,0.786,0.772,0.801,8587,361,5,Bayesian_Optimization
CNN_Genomics,Adverse_Event_Prediction,0.797,0.807,0.826,0.816,0.824,4794,641,5,Bayesian_Optimization
CNN_Genomics,Prognosis_Prediction,0.827,0.816,0.788,0.802,0.897,3638,1227,10,Random_Search
LSTM_Temporal,Disease_Risk_Prediction,0.804,0.755,0.841,0.796,0.83,3149,894,10,Random_Search
LSTM_Temporal,Treatment_Response_Prediction,0.84,0.823,0.827,0.825,0.807,8059,281,10,Grid_Search
LSTM_Temporal,Biomarker_Discovery,0.886,0.871,0.857,0.864,0.86,4421,1450,5,Grid_Search
LSTM_Temporal,Drug_Dosing_Optimization,0.764,0.81,0.772,0.791,0.813,9151,399,5,Grid_Search
LSTM_Temporal,Adverse_Event_Prediction,0.794,0.789,0.763,0.776,0.858,6071,1320,5,Random_Search
LSTM_Temporal,Prognosis_Prediction,0.83,0.862,0.857,0.86,0.801,2541,1131,10,Grid_Search
